year,sex,city,longitude,latitude,wing length,body mass,body size index,urbanization,annual temperature,annual precipitation
2014,Female,Xi'an,108.8062,34.34583,119.5,16.56,0.022977969,0,14.32,51.81
2014,Male,Xi'an,108.8063,34.34585,116.8333333,16.39,0.030831272,0,14.32,51.81
2014,Female,Xi'an,108.8063,34.34585,119,17.74,0.095185967,0,14.32,51.81
2014,Female,Xi'an,108.8033,34.34551,113.5,17.05,0.093617502,0,14.33,51.81
2014,Male,Xi'an,108.8033,34.34551,120.6666667,14.85,-0.093835425,0,14.33,51.81
2014,Male,Xi'an,108.8048,34.34575,121.8333333,16.3,-0.008418015,0,14.32,51.81
2014,Male,Xi'an,108.8034,34.34558,117.6666667,15.62,-0.023010924,0,14.33,51.81
2014,Female,Xi'an,108.8034,34.34558,116.5,18.47,0.152608289,0,14.33,51.81
2014,Male,Yinchuan,106.2865,38.46152,116.6666667,17.49,0.096938653,58,9.68,16.77
2014,Male,Yinchuan,106.2865,38.46152,120.1666667,17.45,0.070847818,58,9.68,16.77
2014,Male,Yinchuan,106.2865,38.46152,118.8333333,16.9,0.047806155,58,9.68,16.77
2014,Female,Yinchuan,106.2865,38.46152,118.6666667,17.02,0.056011782,58,9.68,16.77
2014,Female,Yinchuan,106.2865,38.46152,122.8333333,16.92,0.022331054,58,9.68,16.77
2014,Female,Yinchuan,106.2865,38.46152,117,17.36,0.087180739,58,9.68,16.77
2014,Male,Yinchuan,106.2865,38.46152,123,17.61,0.061209805,58,9.68,16.77
2014,Male,Yinchuan,106.2865,38.46152,118,15.89,-0.008150925,58,9.68,16.77
2014,Female,Yinchuan,106.2878,38.46126,118.8333333,17.55,0.085546483,58,9.74,16.45
2014,Male,Yinchuan,106.2878,38.46126,125.5,16.84,0.000297831,58,9.74,16.45
2014,Male,Yinchuan,106.2878,38.46122,121.3333333,16.24,-0.008794413,58,9.74,16.45
2014,Female,Yinchuan,106.1807,38.49592,122.8333333,19.71,0.174960821,51,9.64,16.4
2014,Male,Yinchuan,106.1807,38.49592,122.5,17.06,0.032759326,51,9.64,16.4
2014,Male,Yinchuan,106.0886,38.57997,119.8333333,15.28,-0.059710337,0,9.72,16.22
2014,Male,Yinchuan,106.1024,38.57751,119,16.69,0.034173727,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,123,16.31,-0.015478701,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,117,16.78,0.053199731,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,120.8333333,16.46,0.007986498,0,9.69,16.15
2014,Female,Yinchuan,106.1024,38.57751,125.8333333,15.37,-0.09317747,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,124,18.06,0.079922433,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,118,15.56,-0.029137387,0,9.69,16.15
2014,Female,Yinchuan,106.1024,38.57751,117,15.57,-0.021641984,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,118.1666667,16,-0.002388691,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,124.3333333,16.95,0.014329066,0,9.69,16.15
2014,Female,Yinchuan,106.1024,38.57751,117.3333333,15.72,-0.014344982,0,9.69,16.15
2014,Female,Yinchuan,106.1024,38.57751,119,16.42,0.017864094,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,120.1666667,17.64,0.08167722,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,121.8333333,15.55,-0.055522484,0,9.69,16.15
2014,Male,Yinchuan,106.1024,38.57751,120.1666667,17.21,0.05699878,0,9.69,16.15
2014,Female,Yinchuan,106.1024,38.57751,121.1666667,19.24,0.161826521,0,9.69,16.15
2014,Male,Baotou,109.9983,40.55281,118,18.4,0.138509759,22,7.47,24.92
2014,Female,Baotou,109.9983,40.55281,120.3333333,17.28,0.059941903,22,7.47,24.92
2014,Male,Baotou,109.998,40.55355,122,16.84,0.023073111,22,7.47,24.92
2014,Female,Baotou,109.998,40.55355,115.6666667,16.87,0.067777855,22,7.47,24.92
2014,Female,Baotou,109.9985,40.55142,117.1666667,19.41,0.197654213,22,7.47,24.92
2014,Male,Baotou,109.9985,40.55142,119.8333333,16.04,-0.011169518,22,7.47,24.92
2014,Male,Baotou,109.9998,40.55196,117.1666667,14.94,-0.064092005,22,7.47,24.92
2014,Female,Baotou,109.9998,40.55245,112.6666667,16.68,0.077611511,22,7.47,24.92
2014,Male,Baotou,109.9998,40.55245,120.5,14.6,-0.109700817,22,7.47,24.92
2014,Male,Baotou,110.0008,40.5535,120,15.69,-0.034350686,50,7.47,24.92
2014,Female,Baotou,110.0008,40.5535,115.8333333,15.86,0.004881758,50,7.47,24.92
2014,Male,Baotou,109.9961,40.55326,118.1666667,15.98,-0.003639473,22,7.47,24.92
2014,Female,Baotou,109.9961,40.55326,118.1666667,15.65,-0.024506497,22,7.47,24.92
2014,Female,Baotou,109.9964,40.55115,120,14.9,-0.086013039,22,7.47,24.92
2014,Male,Baotou,109.9997,40.55292,122,16.99,0.031941038,22,7.47,24.92
2014,Female,Baotou,109.9997,40.55292,113.5,14.34,-0.079479867,22,7.47,24.92
2014,Female,Baotou,109.9995,40.55176,117.6666667,19.3,0.188542027,22,7.47,24.92
2014,Male,Baotou,109.9995,40.55176,118.8333333,15.74,-0.023302224,22,7.47,24.92
2014,Male,Baotou,109.9993,40.55216,122,14.91,-0.098651769,22,7.47,24.92
2014,Male,Baotou,109.9994,40.55187,122.1666667,17.31,0.049501203,22,7.47,24.92
2014,Female,Baotou,109.9994,40.55187,118,16.74,0.04396016,22,7.47,24.92
2014,Female,Baotou,110.0247,40.56983,118,18.07,0.120412199,83,7.8,27.08
2014,Male,Baotou,110.0247,40.56983,123,15.62,-0.058704973,83,7.8,27.08
2014,Male,Baotou,110.0247,40.56983,115.6666667,15.2,-0.036463614,83,7.8,27.08
2014,Male,Baotou,110.0247,40.56983,128.8333333,16.11,-0.065126745,83,7.8,27.08
2014,Female,Baotou,110.0247,40.56983,120.8333333,15.09,-0.078914425,83,7.8,27.08
2014,Female,Beijing,116.3324,39.82022,115.5,13.96,-0.120401855,58,13.02,45.22
2014,Female,Beijing,116.3327,39.81986,112,15.41,0.003196502,58,13.02,45.22
2014,Female,Beijing,116.3333,39.82018,114.3333333,20.29,0.261705045,58,13.02,45.22
2014,Female,Beijing,116.3331,39.82003,113,15.66,0.01213203,58,13.02,45.22
2014,Male,Beijing,116.3331,39.82003,118.3333333,16.68,0.038098079,58,13.02,45.22
2014,Male,Beijing,116.3331,39.81976,115,15.21,-0.031151499,58,13.02,45.22
2014,Female,Beijing,116.3331,39.81976,118.3333333,16.3,0.01505279,58,13.02,45.22
2014,Female,Beijing,116.3329,39.81923,117,14.97,-0.060939772,58,13.02,45.22
2014,Male,Beijing,116.3328,39.81891,120.6666667,13.62,-0.180295989,58,13.02,45.22
2014,Female,Beijing,116.3328,39.81891,112,16.29,0.058731275,58,13.02,45.22
2014,Male,Beijing,116.3326,39.81859,117.6666667,14.73,-0.081676838,58,13.02,45.22
2014,Female,Beijing,116.3326,39.81859,115.8333333,15.53,-0.016144821,58,13.02,45.22
2014,Male,Shuangyashan,131.2486,46.59295,114,14.78,-0.052797198,0,3.54,48.12
2014,Male,Shuangyashan,131.2486,46.59295,115.6666667,14.56,-0.079480999,0,3.54,48.12
2014,Male,Shuangyashan,131.2486,46.59295,113.6666667,15.52,-0.00158472,0,3.54,48.12
2014,Male,Shuangyashan,131.2486,46.59295,116.3333333,14.38,-0.096548375,0,3.54,48.12
2014,Male,Shuangyashan,131.2486,46.59295,113.6666667,15.29,-0.016515215,0,3.54,48.12
2014,Female,Shuangyashan,131.2486,46.59295,120.5,16.06,-0.014390637,0,3.54,48.12
